OffenderStatus,Offender_Race,Offender_Gender,Offender_Age,Victim_Race,Victim_Gender,Victim_Age,Victim_Fatal_Status,Category
0,2,1,-1.5201107198357282,4,0,0.36771020751911443,0,3
0,2,0,0.1987951177504821,5,1,0.8782683143046807,0,3
0,2,1,1.48797449594014,5,1,-0.20666766261464756,0,3
0,2,1,0.5425762852677242,2,1,-0.7172257694002138,0,4
0,2,1,-1.4341654279564178,5,0,-0.908685059444801,0,3
0,5,0,0.4566309933884137,5,1,-0.46194671600743065,0,3
0,2,1,-0.05904075788744947,5,0,-1.0363245861411927,1,5
0,2,1,0.4566309933884137,2,0,1.069727604349268,0,5
0,4,1,-0.8325483848012442,4,1,0.11243115412633134,1,5
0,5,0,0.6285215771470347,2,1,-0.7810455327484095,0,5
0,2,1,-0.14498604976676,5,1,-0.7172257694002138,0,5
0,2,1,0.1987951177504821,2,0,-0.7172257694002138,0,5
0,2,1,0.5425762852677242,2,0,0.2400706808227229,0,5
0,2,1,-1.0044389685598651,2,1,1.0059078410010722,0,5
0,2,1,2.0895915390953137,5,1,1.8355647645276174,0,5
0,5,1,2.691208582250487,5,0,0.6868090242600933,0,5
0,5,1,0.1987951177504821,2,1,-0.9725048227929969,0,5
0,2,1,-0.6606578010426231,2,0,-0.7810455327484095,0,5
0,2,1,0.4566309933884137,3,1,-0.079028135918256,1,1
0,2,0,-0.14498604976676,2,0,-1.2916036395339758,1,1
0,2,1,-0.6606578010426231,5,1,-0.9725048227929969,0,1
0,2,1,2.519317998491866,2,0,1.5164659477866385,0,5
0,2,1,0.1987951177504821,2,0,-0.2704874259628433,0,5
0,2,1,0.28474040962979263,2,1,2.0270240545722045,0,5
0,2,1,-0.31687663352538104,2,0,-0.7172257694002138,1,5
0,2,1,0.1987951177504821,5,0,3.686337901625295,0,3
0,5,1,-0.05904075788744947,5,1,0.6229892609118975,1,1
0,2,0,-0.31687663352538104,2,0,0.6868090242600933,0,5
0,2,0,-0.5747125091633126,2,0,-0.9725048227929969,0,5
0,2,1,0.11284982587117157,2,0,-0.9725048227929969,0,5
0,5,0,-0.8325483848012442,5,1,-0.20666766261464756,0,5
0,2,1,-0.9184936766805547,2,1,-0.7810455327484095,0,3
0,2,0,-1.0044389685598651,2,1,0.30389044417091865,0,4
0,5,1,-0.31687663352538104,5,1,1.3888264210902468,1,1
0,5,1,-0.31687663352538104,5,1,1.3888264210902468,1,1
0,2,1,1.0582480365435873,2,0,0.6229892609118975,0,5
0,2,1,-0.31687663352538104,2,0,-0.7172257694002138,1,5
0,2,1,0.28474040962979263,2,1,0.36771020751911443,1,5
0,5,1,3.2928256254056607,5,1,0.495349734215506,0,1
0,5,1,-0.31687663352538104,5,1,1.3888264210902468,1,1
0,2,1,3.034989749767729,2,0,-0.5257664793556265,0,5
0,2,1,0.026904533991861053,2,0,-0.2704874259628433,0,3
0,4,1,-0.8325483848012442,4,1,0.11243115412633134,1,5
